model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 B Class,2019.0,21998,Semi-Auto,7214.0,Diesel,145.0,55.4,2.0
 B Class,2016.0,13498,Manual,25726.0,Diesel,20.0,68.9,1.5
 B Class,2019.0,21498,Manual,4653.0,Petrol,145.0,45.6,1.3
 E Class,2018.0,23499,Semi-Auto,13904.0,Diesel,145.0,67.3,2.0
 E Class,2017.0,21290,Semi-Auto,21165.0,Diesel,160.0,52.3,3.0
 GLB Class,2020.0,35400,Semi-Auto,2000.0,Diesel,145.0,46.3,2.0
 GLS Class,2019.0,46770,Automatic,11231.0,Diesel,145.0,37.2,3.0
 C Class,2016.0,16498,Semi-Auto,27034.0,Diesel,30.0,65.7,1.6
 A Class,2020.0,32980,Automatic,606.0,Petrol,145.0,35.8,2.0
 C Class,2018.0,23498,Semi-Auto,17093.0,Diesel,145.0,67.3,2.1
 C Class,2017.0,18998,Automatic,20949.0,Diesel,145.0,61.4,2.1
 C Class,2014.0,15298,Semi-Auto,41416.0,Diesel,30.0,64.2,2.1
 C Class,2019.0,24498,Semi-Auto,15838.0,Diesel,145.0,61.4,2.0
 C Class,2014.0,28990,Semi-Auto,19562.0,Petrol,570.0,23.5,6.2
 C Class,2019.0,32998,Semi-Auto,17.0,Petrol,145.0,46.3,1.5
 CLS Class,2016.0,22998,Semi-Auto,13720.0,Diesel,165.0,51.4,3.0
 C Class,2015.0,17636,Semi-Auto,24923.0,Diesel,30.0,64.2,2.1
 C Class,2014.0,15998,Semi-Auto,66140.0,Diesel,125.0,60.1,2.1
 GLE Class,2019.0,43990,Automatic,10974.0,Diesel,145.0,36.7,3.0
 C Class,2015.0,18191,Semi-Auto,11470.0,Diesel,30.0,64.2,1.6
 C Class,2017.0,19890,Automatic,26878.0,Petrol,150.0,48.7,2.0
 C Class,2017.0,23990,Semi-Auto,19784.0,Petrol,145.0,42.2,2.0
 V Class,2018.0,20498,Manual,20841.0,Diesel,145.0,46.3,2.1
 SL CLASS,2016.0,28650,Semi-Auto,9262.0,Petrol,260.0,36.7,3.0
 GLE Class,2017.0,27990,Automatic,17400.0,Diesel,145.0,42.8,3.0
 C Class,2016.0,16998,Semi-Auto,43014.0,Diesel,30.0,64.2,2.1
 A Class,2014.0,13251,Semi-Auto,41700.0,Diesel,20.0,64.2,2.1
 CLA Class,2017.0,20480,Automatic,31949.0,Diesel,150.0,58.9,2.1
 CL Class,2015.0,15998,Manual,29901.0,Petrol,125.0,50.4,1.6
 CL Class,2013.0,11460,Manual,64000.0,Petrol,125.0,50.4,1.6
 A Class,2017.0,14998,Semi-Auto,30626.0,Diesel,150.0,74.3,1.5
 E Class,2018.0,21498,Semi-Auto,25454.0,Diesel,150.0,72.4,2.0
 C Class,2018.0,19940,Semi-Auto,18882.0,Diesel,145.0,61.4,2.1
 GLE Class,2019.0,56499,Semi-Auto,4315.0,Petrol,145.0,29.5,3.0
 GLA Class,2017.0,18998,Semi-Auto,18847.0,Petrol,150.0,50.4,1.6
 A Class,2019.0,19990,Semi-Auto,9191.0,Petrol,145.0,53.3,1.3
 A Class,2019.0,18995,Semi-Auto,21400.0,Petrol,145.0,53.3,1.3
 GLA Class,2014.0,23495,Semi-Auto,27265.0,Petrol,235.0,37.7,2.0
 CL Class,2016.0,15295,Manual,41774.0,Diesel,20.0,67.3,2.1
 SL CLASS,2016.0,18698,Semi-Auto,35595.0,Diesel,30.0,70.6,2.1
 C Class,2017.0,18998,Semi-Auto,28808.0,Diesel,145.0,61.4,2.1
 E Class,2015.0,12691,Semi-Auto,78000.0,Diesel,125.0,61.4,2.1
 A Class,2015.0,12998,Semi-Auto,42724.0,Diesel,20.0,68.9,2.1
 C Class,2016.0,19798,Semi-Auto,29643.0,Diesel,125.0,60.1,2.1
 A Class,2019.0,18499,Semi-Auto,14978.0,Diesel,145.0,65.7,1.5
 CLS Class,2015.0,17450,Automatic,60972.0,Diesel,160.0,52.3,3.0
 A Class,2019.0,18499,Semi-Auto,18588.0,Diesel,145.0,65.7,1.5
 S Class,2016.0,25498,Semi-Auto,44072.0,Diesel,200.0,47.9,3.0
 A Class,2014.0,12498,Semi-Auto,35677.0,Diesel,20.0,68.9,2.1
 GLE Class,2018.0,31298,Semi-Auto,6951.0,Diesel,145.0,47.9,2.1
 GLE Class,2017.0,28500,Semi-Auto,28297.0,Diesel,200.0,47.9,2.1
 E Class,2016.0,19990,Semi-Auto,43000.0,Diesel,160.0,51.4,3.0
 GLA Class,2017.0,19799,Semi-Auto,9186.0,Diesel,150.0,56.5,2.1
 GLS Class,2016.0,37385,Automatic,21169.0,Diesel,305.0,37.2,3.0
 E Class,2017.0,18990,Semi-Auto,43500.0,Diesel,145.0,61.4,2.0
 A Class,2016.0,15770,Semi-Auto,31711.0,Diesel,20.0,67.3,2.1
 C Class,2017.0,24995,Automatic,14000.0,Petrol,145.0,47.1,2.0
 C Class,2015.0,14698,Semi-Auto,43331.0,Diesel,20.0,64.2,2.1
 E Class,2015.0,19498,Semi-Auto,22877.0,Diesel,150.0,54.3,3.0
 C Class,2016.0,14220,Semi-Auto,45868.0,Diesel,20.0,65.7,2.1
 GLA Class,2014.0,20498,Semi-Auto,45231.0,Petrol,235.0,37.7,2.0
 C Class,2016.0,13991,Semi-Auto,49494.0,Diesel,30.0,64.2,2.1
 GLE Class,2018.0,15491,Semi-Auto,42882.0,Diesel,150.0,47.9,2.1
 M Class,2015.0,21998,Automatic,22976.0,Diesel,300.0,39.2,3.0
 A Class,2016.0,12390,Manual,49846.0,Diesel,20.0,72.4,1.5
 C Class,2017.0,16498,Automatic,20764.0,Diesel,150.0,58.9,2.1
 C Class,2016.0,12998,Manual,53453.0,Diesel,20.0,70.6,2.1
 S Class,2019.0,49998,Semi-Auto,83.0,Diesel,145.0,52.3,3.0
 GLA Class,2017.0,18447,Automatic,54961.0,Diesel,145.0,56.5,2.1
 C Class,2017.0,21697,Semi-Auto,28272.0,Petrol,145.0,47.1,2.0
 C Class,2014.0,15998,Semi-Auto,34382.0,Diesel,30.0,64.2,2.1
 C Class,2019.0,21980,Semi-Auto,5572.0,Petrol,145.0,45.6,1.5
 E Class,2016.0,20998,Semi-Auto,37181.0,Diesel,160.0,51.4,3.0
 C Class,2019.0,28660,Automatic,6282.0,Diesel,145.0,54.3,2.0
 GLE Class,2019.0,47995,Semi-Auto,7018.0,Diesel,145.0,36.7,2.0
 GLC Class,2017.0,24510,Automatic,26995.0,Diesel,145.0,56.5,2.1
 GLA Class,2015.0,15990,Semi-Auto,49626.0,Diesel,125.0,55.4,2.1
 GLA Class,2018.0,19950,Automatic,18621.0,Diesel,145.0,56.5,2.1
 C Class,2018.0,19998,Semi-Auto,15383.0,Petrol,145.0,46.3,1.5
 E Class,2015.0,21298,Semi-Auto,15048.0,Diesel,160.0,51.4,3.0
 C Class,2017.0,22260,Semi-Auto,27637.0,Diesel,30.0,64.2,2.1
 SL CLASS,2017.0,20745,Automatic,23103.0,Diesel,30.0,70.6,2.1
 E Class,2017.0,23499,Semi-Auto,20776.0,Diesel,125.0,58.9,2.0
 CL Class,2019.0,37999,Semi-Auto,3647.0,Petrol,145.0,40.9,2.0
 C Class,2019.0,22270,Automatic,3233.0,Petrol,145.0,44.1,1.6
 E Class,2016.0,22990,Automatic,49521.0,Diesel,160.0,51.4,3.0
 E Class,2014.0,12795,Semi-Auto,54358.0,Diesel,125.0,58.9,2.1
 C Class,2015.0,13498,Manual,31125.0,Diesel,20.0,70.6,2.1
 C Class,2015.0,16998,Semi-Auto,26273.0,Petrol,125.0,52.3,2.0
 C Class,2019.0,33998,Semi-Auto,3814.0,Petrol,145.0,44.1,1.5
 C Class,2016.0,17699,Semi-Auto,15511.0,Petrol,125.0,52.3,2.0
 S Class,2019.0,59998,Semi-Auto,10500.0,Petrol,145.0,34.5,3.0
 GLE Class,2017.0,28498,Semi-Auto,30825.0,Diesel,145.0,47.9,2.1
 B Class,2017.0,13999,Manual,17341.0,Diesel,20.0,67.3,2.1
 GLA Class,2016.0,15290,Manual,42365.0,Diesel,20.0,64.2,2.1
 GLC Class,2020.0,32950,Automatic,3528.0,Diesel,145.0,44.8,2.0
 C Class,2016.0,20700,Semi-Auto,27890.0,Diesel,20.0,67.3,2.1
 E Class,2015.0,14998,Semi-Auto,45033.0,Diesel,125.0,56.5,2.1
 GLA Class,2017.0,22750,Semi-Auto,9000.0,Diesel,145.0,56.5,2.1
 GLE Class,2015.0,25498,Semi-Auto,29078.0,Diesel,200.0,47.9,2.1
 C Class,2019.0,31998,Semi-Auto,2000.0,Petrol,145.0,42.2,2.0
 A Class,2018.0,20991,Semi-Auto,5322.0,Petrol,145.0,53.3,1.3
 GLA Class,2016.0,17690,Semi-Auto,41520.0,Diesel,125.0,56.5,2.1
 GLC Class,2017.0,25498,Semi-Auto,9444.0,Diesel,145.0,56.5,2.1
 CL Class,2017.0,18995,Semi-Auto,30877.0,Petrol,150.0,53.3,1.6
 E Class,2014.0,13490,Semi-Auto,23226.0,Diesel,30.0,58.9,2.1
 GLA Class,2015.0,18498,Semi-Auto,18106.0,Diesel,125.0,56.6,2.1
 E Class,2017.0,21998,Semi-Auto,16062.0,Diesel,145.0,52.3,3.0
 M Class,2013.0,15890,Automatic,66426.0,Diesel,300.0,39.2,3.0
 CLS Class,2015.0,19298,Semi-Auto,40912.0,Diesel,125.0,57.7,2.1
 B Class,2019.0,23750,Automatic,278.0,Diesel,145.0,55.4,2.0
 E Class,2019.0,46998,Semi-Auto,3325.0,Petrol,145.0,32.5,3.0
 GLC Class,2016.0,28998,Semi-Auto,16742.0,Diesel,145.0,56.5,2.1
 A Class,2018.0,18490,Semi-Auto,10857.0,Petrol,145.0,53.3,1.3
 GLE Class,2016.0,34698,Semi-Auto,27229.0,Diesel,305.0,39.2,3.0
 A Class,2019.0,19990,Semi-Auto,8293.0,Petrol,145.0,53.3,1.3
 GLA Class,2016.0,17800,Automatic,34092.0,Diesel,125.0,56.6,2.1
 C Class,2018.0,27998,Semi-Auto,6787.0,Diesel,145.0,57.7,2.0
 E Class,2018.0,24490,Semi-Auto,11052.0,Diesel,145.0,65.7,2.0
 GLA Class,2014.0,15898,Automatic,38004.0,Diesel,145.0,55.4,2.1
 GLE Class,2017.0,28498,Semi-Auto,26416.0,Diesel,205.0,47.9,2.1
 E Class,2016.0,19298,Semi-Auto,26780.0,Diesel,160.0,52.3,3.0
 B Class,2019.0,20700,Automatic,14931.0,Petrol,145.0,45.6,1.3
 A Class,2017.0,19231,Automatic,23174.0,Diesel,145.0,68.9,2.1
 A Class,2019.0,21035,Automatic,3166.0,Petrol,145.0,47.9,1.3
 A Class,2017.0,18298,Semi-Auto,7919.0,Diesel,145.0,68.9,2.1
 GLE Class,2016.0,31390,Semi-Auto,30772.0,Diesel,300.0,39.2,3.0
 GL Class,2015.0,31998,Semi-Auto,36281.0,Diesel,330.0,36.2,3.0
 C Class,2014.0,15698,Semi-Auto,39920.0,Diesel,30.0,64.2,2.1
 SL CLASS,2016.0,18498,Semi-Auto,33502.0,Diesel,30.0,70.6,2.1
 C Class,2018.0,20890,Semi-Auto,3033.0,Petrol,145.0,44.1,1.5
 C Class,2017.0,20871,Semi-Auto,37194.0,Diesel,145.0,65.7,2.1
 E Class,2019.0,33995,Semi-Auto,5000.0,Diesel,145.0,45.6,2.0
 SL CLASS,2017.0,18990,Manual,17261.0,Petrol,160.0,43.5,2.0
 A Class,2018.0,19490,Automatic,6731.0,Petrol,145.0,53.3,1.3
 E Class,2017.0,22350,Semi-Auto,14850.0,Diesel,145.0,61.4,2.0
 C Class,2017.0,18350,Semi-Auto,42000.0,Diesel,30.0,64.2,2.1
 CLS Class,2016.0,22998,Semi-Auto,25536.0,Diesel,160.0,51.4,3.0
 A Class,2018.0,19660,Automatic,5177.0,Petrol,145.0,53.3,1.3
 G Class,2016.0,61948,Automatic,16000.0,Petrol,325.0,30.4,4.0
 A Class,2018.0,19297,Automatic,7236.0,Petrol,145.0,53.3,1.3
 C Class,2017.0,17998,Semi-Auto,16291.0,Petrol,145.0,50.4,2.0
 A Class,2013.0,9995,Manual,83000.0,Diesel,20.0,70.6,1.5
 A Class,2019.0,24995,Semi-Auto,4500.0,Diesel,145.0,67.3,1.5
 GLA Class,2017.0,17998,Semi-Auto,47465.0,Diesel,145.0,64.2,2.1
 S Class,2019.0,89999,Semi-Auto,1400.0,Petrol,145.0,34.0,4.0
 A Class,2019.0,25190,Automatic,2471.0,Diesel,145.0,56.5,2.0
 V Class,2018.0,20998,Manual,11323.0,Diesel,145.0,46.3,2.1
 V Class,2018.0,20498,Manual,22011.0,Diesel,145.0,46.3,2.1
 GLC Class,2016.0,25780,Automatic,34358.0,Diesel,125.0,56.5,2.1
 A Class,2019.0,21291,Semi-Auto,13361.0,Diesel,145.0,67.3,1.5
 V Class,2018.0,20498,Manual,18831.0,Diesel,145.0,46.3,2.1
 GLA Class,2016.0,17990,Semi-Auto,30171.0,Diesel,125.0,56.5,2.1
 E Class,2014.0,14975,Semi-Auto,58145.0,Diesel,200.0,47.1,3.0
 A Class,2017.0,16450,Semi-Auto,37112.0,Diesel,20.0,68.9,2.1
 CLS Class,2014.0,19998,Semi-Auto,25696.0,Diesel,165.0,52.3,3.0
 GLC Class,2016.0,22499,Semi-Auto,49822.0,Diesel,125.0,56.5,2.1
 A Class,2019.0,20780,Semi-Auto,11324.0,Petrol,145.0,53.3,1.3
 S Class,2018.0,41999,Semi-Auto,8107.0,Diesel,145.0,52.3,3.0
 E Class,2016.0,18698,Semi-Auto,31131.0,Diesel,145.0,54.3,3.0
 A Class,2019.0,21998,Semi-Auto,19324.0,Petrol,150.0,53.3,1.3
 C Class,2016.0,15698,Automatic,42062.0,Petrol,125.0,50.4,2.0
 A Class,2017.0,15245,Manual,22969.0,Diesel,145.0,68.9,1.5
 B Class,2017.0,13298,Manual,31705.0,Diesel,150.0,68.9,1.5
 GLA Class,2014.0,13990,Automatic,56488.0,Diesel,145.0,55.4,2.1
 E Class,2017.0,21498,Semi-Auto,20636.0,Diesel,160.0,52.3,3.0
 A Class,2016.0,14998,Manual,24569.0,Diesel,20.0,68.9,1.5
 CLS Class,2017.0,23998,Semi-Auto,27354.0,Diesel,160.0,49.6,3.0
 CLS Class,2016.0,22498,Semi-Auto,14466.0,Diesel,160.0,51.4,3.0
 S Class,2018.0,41990,Semi-Auto,7527.0,Diesel,145.0,52.3,3.0
 C Class,2017.0,16499,Semi-Auto,30536.0,Petrol,150.0,50.4,2.0
 GLC Class,2016.0,25495,Semi-Auto,24290.0,Diesel,125.0,56.5,2.1
 CL Class,2014.0,20998,Semi-Auto,60488.0,Petrol,200.0,39.8,2.0
 V Class,2018.0,19998,Manual,14941.0,Diesel,145.0,46.3,2.1
 GLC Class,2019.0,29490,Semi-Auto,8115.0,Diesel,145.0,56.5,2.1
 A Class,2019.0,20741,Semi-Auto,11112.0,Petrol,145.0,53.3,1.3
